CityName,Population
wuhan,11081000
xiaogan,4920000
huanggang,6330000
jingzhou,5590200
xianning,2543300
ezhou,1077700
xiangyang,5669000
huangshi,2470700
jingmen,2896500
suizhou,2216700
yichang,4135850
xiantao,1544500
tianmen,1283500
enshi,4013600
shiyan,3406000
xinyang,6474100
chongqing,31243200
changsha,8154700
qianjiang,966000
beijing,21536000
shanghai,24237800
zhengzhou,10136000
guangzhou,14904400
nanyang,10013600
shenzhen,13026600
zhumadian,6190200
jiujiang,4822700
chengdu,16330000
nanchang,5545500
yueyang,5797100
hefei,8087000
anqing,4691000
zhoukou,8677800
xian,10003700
nanjing,8436200
fuyang,8207000
hangzhou,9806000
shangqiu,7325300
changde,5830100
kunming,6850000
suzhou,10721700
hengyang,7243400
fuzhou,7740000
yichun,5573200
nanning,7254100
guiyang,4881900
tianjin,15596000
luan,4837000
wenzhou,9250000
quanzhou,8700000
dongguan,8392200
shijiazhuang,10951600
luoyang,6888500
zhuzhou,4020800
xiamen,4110000
yiyang,4413800
loudi,3931800
shaoyang,7370500
luohe,2650300
ningbo,8202000
shangrao,6810600
foshan,7905700
xuchang,4437400
wuxi,6574500
xinxiang,5794100
haikou,2302300
haerbin,10858000
handan,9528100
qingdao,9394800
kaifeng,4564900
ganzhou,9814600
huizhou,4830000
xuzhou,8802000
sanya,773900
taiyuan,4421458
jinan,7460400
zhuhai,1891130
taizhou,6139000
heze,8765000
jinhua,5604000
wuhu,3748200
shennongjia,100000
zhenjiang,3196400
weifang,6373000
hanzhong,3436100
chizhou,1474500
yancheng,7200000
changchun,7513000
chaozhou,2656600
shantou,5638500
xiangtan,2865000
linyi,10624000
maoming,6313200
pingdingshan,5027700
sanmenxia,2272900
xiangxi,2636000
yangzhou,4531000
yongzhou,5452100
huaian,4925000
maanshan,2237100
